countyid,countbrewpub,countcontract,countmicro,countregional,counttotal,countlargest,countbest
31089,1,,,,1,0,0
31109,4,,6,,11,0,0
31111,1,,,,1,0,0
31119,1,,,,1,0,0
31133,1,,,,1,0,0
31137,,,1,,1,0,0
31141,1,,,,1,0,0
31153,1,,1,,2,0,0
31157,,,,,1,0,0
31159,,,1,,1,0,0
31175,,,1,,1,0,0
31179,,,1,,1,0,0
32003,6,,9,,17,0,0
32007,,,,,1,0,0
32023,1,,,,1,0,0
32029,1,,,,1,0,0
32031,9,1,9,,20,0,0
32510,1,,1,,2,0,0
33001,1,,,,1,0,0
33003,4,,1,,6,0,0
33005,1,,4,,6,0,0
33009,2,,5,,7,0,0
33011,3,,4,,11,0,0
33013,1,,8,,9,0,0
33015,4,,9,2,18,0,0
33017,2,,1,,3,0,0
33019,,,1,,2,0,0
34001,,,4,,5,0,0
34003,,1,2,,5,0,0
34005,1,,6,,8,0,0
34007,1,,6,1,8,0,0
34009,1,,4,,6,0,0
34011,,,2,,2,0,0
34013,1,1,1,,6,0,0
34015,,,6,,7,0,0
34017,,,1,,2,0,0
34019,2,,1,,4,0,0
34021,1,,2,,3,0,0
34023,2,,1,,4,0,0
34025,1,,8,,12,0,0
34027,1,,2,,4,0,0
34029,1,,4,,5,0,0
34035,,,1,,2,0,0
34037,1,,,,2,0,0
34039,1,,3,,4,0,0
34041,,,2,,3,0,0
35001,13,,15,1,29,0,0
35006,,,1,,1,0,0
35007,2,,1,,3,0,0
35013,3,1,,,5,0,0
35015,2,,1,,3,0,0
35017,1,,,,1,0,0
35021,,,1,,1,0,0
35025,1,,,,1,0,0
35028,,,1,,2,0,0
35041,1,,,,1,0,0
35043,5,,,,6,0,0
35045,1,,,,2,0,0
35049,6,,1,1,9,0,0
35051,,,1,,1,0,0
35055,3,,,,3,0,0
36001,1,,5,,6,0,0
36003,,,,,1,0,0
36005,,1,3,,4,0,0
36007,,,2,,2,0,0
36009,,,1,,1,0,0
36011,1,,3,,5,0,0
36013,1,,1,1,5,0,0
36015,,,2,,2,0,0
36017,1,,,,1,0,0
36019,2,,,,2,0,0
36021,,,2,,2,0,0
36023,,,1,,1,0,0
36027,4,,6,,11,0,0
36029,11,1,7,,20,0,0
36031,4,,2,,9,0,0
36033,1,,1,,4,0,0
36037,1,,,,1,0,0
36039,1,,3,,4,0,0
36043,,,1,,1,0,0
36045,2,,2,,5,0,0
36047,6,2,7,2,19,0,0
36049,,,,,1,0,0
36053,1,,5,,6,0,0
36055,7,1,7,1,19,0,0
36059,,,5,,7,0,0
36061,,3,,,5,0,0
36063,3,,,,3,0,0
36065,1,,2,1,4,0,0
36067,4,,8,,18,0,0
36069,2,,8,,11,0,0
36071,1,,7,,10,0,0
36073,,,,,1,0,0
36075,1,,,,1,0,0
36077,1,,1,1,4,0,0
36079,1,,,,2,0,0
36081,2,,9,,16,0,0
36083,2,,3,,5,0,0
36085,,,3,,3,0,0
36087,2,,1,,3,0,0
36089,,,2,,2,0,0
36091,2,,4,,8,0,0
36093,1,,2,,4,0,0
36095,,,3,,3,0,0
36097,5,,2,,8,0,0
36099,2,,3,,5,0,0
36101,3,,5,,8,0,0
36103,5,1,15,,27,0,0
36105,,,2,,3,0,0
36107,,,1,,1,0,0
36109,2,,3,1,6,0,0
36111,4,1,7,,15,0,0
36113,2,,4,,7,0,0
36115,1,,2,,3,0,0
36119,3,,6,1,12,0,0
36121,1,,2,,3,0,0
36123,,1,3,,4,0,0
37001,,1,1,,3,0,0
37009,1,,,,1,0,0
37011,,,2,,2,0,0
37019,,,2,,2,0,0
37021,11,,17,1,33,0,0
37023,,,1,1,3,0,0
37025,,,4,,4,0,0
37027,2,,,,2,0,0
37031,1,,3,,4,0,0
37035,,,2,,2,0,0
37037,,,2,,3,0,0
37039,2,,1,,3,0,0
37045,,,1,,1,0,0
37049,1,,1,,2,0,0
37051,3,,1,,5,0,0
37053,,,1,,1,0,0
37055,2,,,,2,0,0
37057,,,,,2,0,0
37063,2,,4,,8,0,0
37065,,,1,,1,0,0
37067,4,,4,1,10,0,0
37069,,,1,,1,0,0
37071,1,,3,,5,0,0
37077,,,,,1,0,0
37081,4,,6,2,15,0,0
37085,,,1,,2,0,0
37087,1,,2,,4,0,0
37089,1,,3,1,6,0,0
37091,1,,,,1,0,0
37095,1,,,,1,0,0
37097,1,,2,,3,0,0
37099,1,,1,,2,0,0
37101,1,,1,,2,0,0
37103,,,1,,1,0,0
37105,,,1,,1,0,0
37107,,,,1,1,0,0
37109,,1,,,1,0,0
37111,,,1,,1,0,0
37113,,,3,,3,0,0
37115,1,,,,1,0,0
37119,7,1,20,2,35,0,0
37121,1,,,,1,0,0
37125,,,,,2,0,0
37127,,,2,,2,0,0
37129,4,,9,,14,0,0
37135,5,,3,,8,0,0
37137,,,1,,1,0,0
37139,,,1,,1,0,0
37141,,,1,,1,0,0
37145,,,1,,1,0,0
37147,,,3,,3,0,0
37151,,,1,,2,0,0
37157,,,,,1,0,0
37159,1,,1,,2,0,0
37161,,,1,,1,0,0
37171,,,3,,3,0,0
37173,,,2,,2,0,0
37175,,,4,1,5,0,0
37179,1,,2,,3,0,0
37183,4,,27,2,36,0,0
37189,1,,2,,4,0,0
37195,,,1,,1,0,0
38015,1,,1,,2,0,0
38017,1,,2,,3,0,0
38035,2,,,,2,0,0
38053,,,,,1,0,0
38059,,,2,,2,0,0
38101,1,,,,1,0,0
39005,1,,,,1,0,0
39007,1,,,,1,0,0
39009,1,,4,,5,0,0
39011,,,,,1,0,0
39015,,,1,,1,0,0
39017,1,,7,,9,0,0
39019,,,1,,1,0,0
39023,,,2,,2,0,0
39025,1,,2,,4,0,0
39027,,,1,,1,0,0
39029,1,,1,,2,0,0
39031,,,2,,2,0,0
39035,20,4,13,3,44,0,0
39037,,,,,1,0,0
39039,2,,,,2,0,0
39041,1,,2,,4,0,0
39043,,,,,1,0,0
39045,,,3,,5,0,0
39049,12,1,18,1,38,0,0
39051,,,,,1,0,0
39053,,,1,,1,0,0
39055,,,,,1,0,0
39057,,,2,,3,0,0
39061,9,,18,5,34,0,0
39063,,,1,,1,0,0
39065,,,,,1,0,0
39069,,,1,,1,0,0
39073,,,1,,1,0,0
39075,1,,,,1,0,0
39079,,,1,,1,0,0
39083,,,,,1,0,0
39085,4,,2,,6,0,0
39089,1,,6,,8,0,0
39091,,,1,,1,0,0
39093,,,3,,3,0,0
39095,5,,4,,10,0,0
39099,1,,3,,4,0,0
39101,1,,,,1,0,0
39103,2,,2,,6,0,0
39105,,,1,,1,0,0
39107,1,,2,,3,0,0
39109,,,,,1,0,0
39113,6,,7,,14,0,0
39117,,,1,,1,0,0
39119,,1,1,,2,0,0
39123,3,,1,,4,0,0
39133,,,1,,1,0,0
39139,,,1,,1,0,0
39145,1,,,,1,0,0
39147,,,1,,1,0,0
39151,4,,4,,8,0,0
39153,5,,11,,19,0,0
39155,,,1,,1,0,0
39165,1,,1,,5,0,0
39167,1,,,,1,0,0
39169,,,1,,1,0,0
39171,1,,,,1,0,0
39173,,,2,,2,0,0
40013,1,,,,2,0,0
40017,,,1,,2,0,0
40027,1,,2,,4,0,0
40071,,,1,,1,0,0
40109,1,2,6,,11,0,0
40119,,,1,,1,0,0
40131,,,1,,1,0,0
40143,,2,8,,11,0,0
40145,,,1,,1,0,0
40147,,,,,1,0,0
41001,,,2,,2,0,0
41003,6,,2,,9,0,0
41005,8,,6,1,16,0,0
41007,4,,4,1,10,0,0
41009,,,,,1,0,0
41011,2,,,,2,0,0
41013,,,1,,1,0,0
41015,,,2,,2,0,0
41017,7,,11,3,25,0,0
41019,1,,5,,7,0,0
41023,1,,,,1,0,0
41025,,,1,,1,0,0
41027,1,,3,2,6,0,0
41029,3,1,6,,10,0,0
41033,5,,,,6,0,0
41035,2,,,,2,0,0
41039,6,,6,1,17,0,0
41041,3,,,1,4,0,0
41043,2,,,,2,0,0
41045,1,,1,,2,0,0
41047,3,,6,,9,0,0
41049,,,1,,1,0,0
41051,29,2,43,3,80,0,0
41057,,,3,1,4,0,0
41059,2,,1,,3,0,0
41063,,,1,,1,0,0
41065,1,,,,1,0,0
41067,9,,8,,18,0,0
41071,2,,5,,8,0,0
42001,2,,,,2,0,0
42003,9,2,23,,39,0,0
42007,2,,1,,3,0,0
42009,,,1,,1,0,0
42011,5,,2,,7,0,0
42013,1,,,,1,0,0
42015,1,,,,1,0,0
42017,2,,3,1,11,0,0
42019,4,,3,,7,0,0
42021,,,1,,1,0,0
42027,4,,1,,5,0,0
42029,10,,5,1,19,0,0
42031,1,,,,2,0,0
42033,1,,,,1,0,0
42037,3,,,,3,0,0
42039,6,,,,7,0,0
42041,2,,2,,5,0,0
42043,5,,2,1,9,0,0
42045,2,,1,,4,0,0
42047,,,,1,1,0,0
42049,3,,3,,7,0,0
42051,,,1,,1,0,0
42055,2,,,,3,0,0
42063,1,,1,,2,0,0
42069,1,,,,1,0,0
42071,11,,6,,18,0,0
42073,2,,,,2,0,0
42075,2,,,,3,0,0
42077,2,,4,,7,0,0
42079,1,1,3,1,6,0,0
42081,3,,1,,4,0,0
42083,,,,,1,0,0
42085,3,,2,,5,0,0
42089,2,,,,3,0,0
42091,10,,3,1,18,0,0
42093,1,,2,,4,0,0
42095,3,,3,1,9,0,0
42097,,,1,,2,0,0
42099,,,,,2,0,0
42101,9,,8,1,19,0,0
42107,,,,2,3,0,0
42109,1,,,,1,0,0
42111,,,1,,1,0,0
42115,,,2,,2,0,0
42117,1,,,,1,0,0
42119,1,,,,1,0,0
42125,1,,1,,3,0,0
42127,3,,1,,4,0,0
42129,1,1,3,1,7,0,0
42133,7,,8,,15,0,0
44003,,,1,,3,0,0
44005,1,,1,,2,0,0
44007,3,,4,1,9,0,0
44009,1,,5,,6,0,0
45003,1,,,,2,0,0
45013,2,,2,,5,0,0
45019,3,1,16,,21,0,0
45035,,,1,,2,0,0
45041,2,,,,2,0,0
45045,4,,5,1,12,0,0
45047,1,,,,1,0,0
45051,2,,1,,3,0,0
45053,,,,,1,0,0
45057,,,1,,2,0,0
45063,2,,2,,5,0,0
45073,,,1,,2,0,0
45079,4,,2,,7,0,0
45083,2,,1,,3,0,0
45091,1,,1,,3,0,0
46011,1,,1,,2,0,0
46013,,,,,1,0,0
46029,1,,,,1,0,0
46033,1,,,,1,0,0
46081,,,2,,3,0,0
46093,1,,,,2,0,0
46099,3,,2,,8,0,0
46103,3,,3,,6,0,0
47001,1,,,,1,0,0
47009,,,1,,3,0,0
47031,,,1,,2,0,0
47037,4,1,13,1,21,0,0
47047,,,,,1,0,0
47065,4,,5,,10,0,0
47079,,,1,,1,0,0
47093,8,,7,,16,0,0
47119,,,1,,3,0,0
47125,2,,1,,4,0,0
47129,1,,,,1,0,0
47141,,,3,,4,0,0
47143,1,,,,1,0,0
47149,,,1,,2,0,0
47155,2,,,,2,0,0
47157,1,,5,2,10,0,0
47163,,,3,,3,0,0
47165,,,1,,1,0,0
47179,,,4,,4,0,0
47185,,,1,,2,0,0
47187,2,,2,,5,0,0
48005,,,,,1,0,0
48027,,,1,1,2,0,0
48029,4,1,4,,9,0,0
48031,1,,,1,2,0,0
48039,1,,2,,4,0,0
48041,2,,1,,4,0,0
48053,2,,2,,4,0,0
48055,,,1,,1,0,0
48061,1,,,,1,0,0
48063,1,,,,1,0,0
48085,2,2,4,,11,0,0
48091,,,3,,5,0,0
48095,1,,,,1,0,0
48113,8,,15,2,29,0,0
48121,1,,6,,8,0,0
48133,,,1,,1,0,0
48135,,,,,1,0,0
48139,,,1,,2,0,0
48141,2,,1,,3,0,0
48157,,,3,,5,0,0
48167,1,,3,,4,0,0
48171,1,,1,,2,0,0
48175,,,1,,1,0,0
48181,1,,2,,3,0,0
48183,,,1,,1,0,0
48187,,,2,,2,0,0
48201,6,,15,1,27,0,0
48209,2,,5,,8,0,0
48213,1,,,,1,0,0
48215,1,,2,,4,0,0
48223,,,,,1,0,0
48225,,,1,,1,0,0
48227,,,,,1,0,0
48231,,,1,,1,0,0
48245,1,,,,1,0,0
48259,2,,2,,5,0,0
48265,1,,1,,2,0,0
48303,2,,1,,4,0,0
48309,,,2,,3,0,0
48329,,,,,1,0,0
48339,,,6,,8,0,0
48347,,,1,,2,0,0
48355,1,,3,,5,0,0
48375,,,,,1,0,0
48381,,,1,,1,0,0
48397,,,3,,4,0,0
48399,,,1,,1,0,0
48409,,,,,2,0,0
48411,1,,,,1,0,0
48423,,,2,,2,0,0
48427,,,,,1,0,0
48439,5,,10,1,18,0,0
48441,1,,2,,4,0,0
48451,2,,,,2,0,0
48453,8,2,16,3,30,0,0
48473,,,1,,1,0,0
48477,,,1,,2,0,0
48485,,,2,,2,0,0
48491,3,,5,,10,0,0
48499,,,1,,1,0,0
49011,,,1,,1,0,0
49021,,,,,1,0,0
49035,5,,11,3,23,0,0
49043,,,1,,2,0,0
49045,,,1,,1,0,0
49047,1,,1,,2,0,0
49049,1,,,,1,0,0
49053,1,,,,2,0,0
49057,1,,1,,3,0,0
50001,1,,1,1,3,0,0
50003,1,,1,,3,0,0
50005,1,,1,,2,0,0
50007,2,,11,3,16,0,0
50011,1,,1,,2,0,0
50015,2,,2,,4,0,0
50019,,,1,,1,0,0
50021,1,,1,,2,0,0
50023,1,,3,1,7,0,0
50025,2,,,,2,0,0
50027,1,,2,1,5,0,0
51001,,,1,,1,0,0
51003,,,2,,2,0,0
51005,1,,,,1,0,0
51011,,,,,1,0,0
51013,,1,1,,2,0,0
51019,1,,2,,4,0,0
51023,,,,,1,0,0
51041,1,,,,1,0,0
51047,,,2,,2,0,0
51059,4,,4,,11,0,0
51061,1,,1,,2,0,0
51063,,,1,,1,0,0
51067,,,2,,2,0,0
51071,,,1,,1,0,0
51073,,,,,1,0,0
51075,,,1,,1,0,0
51087,1,,1,,3,0,0
51089,,,1,,1,0,0
51093,1,,,,2,0,0
51095,,,,,1,0,0
51099,,,,,1,0,0
51101,,,,,1,0,0
51107,5,1,12,,23,0,0
51109,,,,,2,0,0
51113,,,1,,1,0,0
51121,3,,,,3,0,0
51125,,,2,,3,0,0
51131,1,,,,1,0,0
51135,,,,,1,0,0
51139,,,1,,1,0,0
51145,1,,,,1,0,0
51153,,,3,,5,0,0
51155,1,,,,1,0,0
51157,,,2,,2,0,0
51161,,,1,,1,0,0
51165,,,,,1,0,0
51171,1,,,,2,0,0
51173,,,,,1,0,0
51177,,,2,,2,0,0
51179,,,2,,3,0,0
51187,1,,,,1,0,0
51191,,,2,,2,0,0
51193,,,1,,1,0,0
51195,1,,,,1,0,0
51510,,1,,1,3,0,0
51520,1,,1,,2,0,0
51540,,,6,,6,0,0
51550,,,1,,1,0,0
51590,,,2,,2,0,0
51600,1,,,,2,0,0
51610,1,,1,,2,0,0
51630,2,,2,,4,0,0
51640,1,,,,1,0,0
51650,2,,2,,4,0,0
51660,,,3,,3,0,0
51683,1,,4,,6,0,0
51700,,,1,,1,0,0
51710,,,6,,7,0,0
51730,1,,1,,2,0,0
51735,,,,,1,0,0
51740,1,,1,,2,0,0
51760,2,,13,1,17,0,0
51770,,,2,,2,0,0
51775,,,3,,3,0,0
51790,1,,2,,4,0,0
51800,,,1,,1,0,0
51810,2,1,7,,11,0,0
51820,,,1,,1,0,0
51830,,,2,,2,0,0
51840,1,,2,,3,0,0
53003,,,1,,1,0,0
53005,7,,2,,9,0,0
53007,5,,5,,11,0,0
53009,1,,1,,2,0,0
53011,9,,12,,22,0,0
53013,1,,,,1,0,0
53015,1,,2,,3,0,0
53025,2,,1,,3,0,0
53027,1,,2,,3,0,0
53029,1,,2,,3,0,0
53031,,,3,,3,0,0
53033,26,1,60,3,102,0,0
53035,6,,6,1,13,0,0
53037,,,2,,2,0,0
53039,,,2,,2,0,0
53041,1,,1,,2,0,0
53043,,,1,,1,0,0
53045,1,,1,,2,0,0
53047,2,,1,,3,0,0
53049,,,1,,1,0,0
53053,6,4,20,,32,0,0
53055,1,,3,,4,0,0
53057,3,,5,,9,0,0
53059,,,3,,3,0,0
53061,10,1,18,,31,0,0
53063,6,,17,,25,0,0
53065,2,,1,,3,0,0
53067,2,,4,,7,0,0
53069,,,1,,1,0,0
53071,2,,4,,6,0,0
53073,4,,10,,15,0,0
53075,,,1,,1,0,0
53077,,,11,1,13,0,0
54011,1,,,,1,0,0
54019,,,,,1,0,0
54033,,,1,,1,0,0
54037,1,,1,,4,0,0
54039,1,,,,1,0,0
54055,,,1,,1,0,0
54061,1,,1,,4,0,0
54067,,,1,,1,0,0
54069,1,,1,,2,0,0
54075,,,,,2,0,0
54081,1,,1,,2,0,0
54083,,,2,,2,0,0
54093,,,3,,3,0,0
54107,2,,,,2,0,0
55003,,,1,,1,0,0
55005,,,1,,2,0,0
55007,,,1,,1,0,0
55009,4,1,4,,9,0,0
55011,,1,,,1,0,0
55015,,,2,,2,0,0
55017,1,,2,,4,0,0
55021,1,,2,,3,0,0
55023,,,1,,1,0,0
55025,13,2,7,3,25,0,0
55029,1,,,,2,0,0
55031,1,,1,,2,0,0
55033,1,,1,,2,0,0
55035,1,,2,,4,0,0
55039,1,,,,1,0,0
55043,,,1,,1,0,0
55045,1,,,2,3,0,0
55049,1,,1,,2,0,0
55053,,1,1,,2,0,0
55055,,,3,,3,0,0
55059,,,3,,3,0,0
55063,1,1,3,1,8,0,0
55065,,,1,,1,0,0
55069,,,1,,1,0,0
55071,1,,1,,2,0,0
55073,2,,1,,4,0,0
55075,1,,,,1,0,0
55079,7,3,15,1,31,0,0
55081,,,,,1,0,0
55085,,1,1,,2,0,0
55087,2,,,,3,0,0
55089,1,,,,2,0,0
55093,1,,,,2,0,0
55095,1,,,,2,0,0
55097,1,,1,2,5,0,0
55101,,,3,,3,0,0
55103,1,,,,1,0,0
55105,,,2,,2,0,0
55109,1,,5,,6,0,0
55111,1,,,,1,0,0
55113,1,,,,1,0,0
55115,1,,,,1,0,0
55117,1,,3,,4,0,0
55121,1,,1,,2,0,0
55123,1,,,,1,0,0
55125,,,1,,1,0,0
55127,2,,,,3,0,0
55131,1,1,,,2,0,0
55133,3,1,2,,7,0,0
55139,3,1,2,,6,0,0
55141,1,,,,1,0,0
56001,2,,1,,3,0,0
56005,1,,1,,3,0,0
56007,1,,,,1,0,0
56009,,,2,,2,0,0
56013,1,,,,2,0,0
56017,1,,,,1,0,0
56019,,,1,,1,0,0
56021,1,,2,,3,0,0
56025,,,,,1,0,0
56029,2,1,,,3,0,0
56033,,,2,,3,0,0
56037,1,,1,,2,0,0
56039,,,2,,4,0,0
56041,1,,,,1,0,0
Grand Total,2084,162,3352,187,6687,0,0
